chunk_size,overlap,avg_time,avg_faithfulness,avg_relevancy
128,0.1,0.7259696006774903,0.8,0.7
128,0.2,0.7376132011413574,0.9,0.9
128,0.3,0.760779619216919,1.0,0.8
128,0.4,0.8175537586212158,0.8,0.8
128,0.5,0.7537286520004273,1.0,0.9
256,0.1,0.8834420204162597,1.0,1.0
256,0.2,0.838227105140686,1.0,0.9
256,0.3,0.8522461652755737,1.0,0.9
256,0.4,0.8693090438842773,1.0,0.9
256,0.5,0.843340802192688,1.0,0.9
512,0.1,0.7683957099914551,0.9,0.9
512,0.2,1.1813518285751343,1.0,1.0
512,0.3,0.8479664325714111,1.0,0.9
512,0.4,0.8602088928222656,1.0,1.0
512,0.5,0.873015022277832,1.0,1.0
1024,0.1,0.889925217628479,1.0,1.0
1024,0.2,0.8282881736755371,0.9,0.9
1024,0.3,0.8303410768508911,1.0,0.9
1024,0.4,0.8469466686248779,0.9,0.9
1024,0.5,0.7792830228805542,1.0,0.8
