chunk_size,overlap,avg_time,avg_faithfulness,avg_relevancy
128,0.1,0.439976704120636,0.95,0.85
128,0.2,0.40021936893463134,0.95,0.9
128,0.3,0.4209755897521973,1.0,0.95
128,0.4,0.38663979768753054,0.85,0.7
128,0.5,0.44619065523147583,1.0,0.9
256,0.1,0.4630414009094238,1.0,0.9
256,0.2,0.4868533253669739,1.0,0.9
256,0.3,0.5898937225341797,0.95,0.85
256,0.4,0.4609753370285034,1.0,0.9
256,0.5,0.45140150785446165,1.0,0.95
512,0.1,0.4974284887313843,1.0,0.8
512,0.2,0.5063498497009278,1.0,0.8
512,0.3,0.5477468013763428,1.0,0.85
512,0.4,0.5093428134918213,1.0,0.85
512,0.5,0.5215208292007446,1.0,0.85
1024,0.1,0.4888748526573181,1.0,0.85
1024,0.2,0.5186301231384277,1.0,0.85
1024,0.3,0.45240780115127566,1.0,0.85
1024,0.4,0.5158832311630249,0.95,0.8
1024,0.5,0.5483210444450378,1.0,0.85
