key,readability_level
bm25__falcon3-1b__mxbai,65
bm25__falcon3-1b__mxbai,65
bm25__falcon3-1b__mxbai,75
bm25__falcon3-1b__mxbai,85
bm25__falcon3-1b__mxbai,72
bm25__falcon3-1b__mxbai,65
bm25__falcon3-1b__mxbai,35
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,35
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,35
bm25__falcon3-1b__mxbai,35
bm25__falcon3-1b__mxbai,55
bm25__falcon3-1b__mxbai,45
bm25__falcon3-1b__mxbai,72
bm25__falcon3-1b__mxbai,35
