key,readability_level
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,65
bm25__falcon3-1b__nomic,72
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,65
bm25__falcon3-1b__nomic,65
bm25__falcon3-1b__nomic,35
bm25__falcon3-1b__nomic,55
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,72
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,65
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,45
bm25__falcon3-1b__nomic,35
