key,readability_level
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,72
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,85
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,85
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,72
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,85
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,72
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,72
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,78
bm25__gemma3-1b__mxbai,78
