key,readability_level
bm25__gemma3-1b__nomic,72
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,72
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,72
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,72
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,78
bm25__gemma3-1b__nomic,85
bm25__gemma3-1b__nomic,78
