key,readability_level
bm25__granite3.1-moe:1b__mxbai,45
bm25__granite3.1-moe:1b__mxbai,45
bm25__granite3.1-moe:1b__mxbai,72
bm25__granite3.1-moe:1b__mxbai,62
bm25__granite3.1-moe:1b__mxbai,68
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,85
bm25__granite3.1-moe:1b__mxbai,72
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,72
bm25__granite3.1-moe:1b__mxbai,78
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,45
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,55
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,65
bm25__granite3.1-moe:1b__mxbai,45
bm25__granite3.1-moe:1b__mxbai,78
bm25__granite3.1-moe:1b__mxbai,45
