key,readability_level
bm25__llama3.2-1b__nomic,78
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,72
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,78
bm25__llama3.2-1b__nomic,72
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,72
bm25__llama3.2-1b__nomic,85
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,78
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,78
bm25__llama3.2-1b__nomic,65
bm25__llama3.2-1b__nomic,72
bm25__llama3.2-1b__nomic,72
bm25__llama3.2-1b__nomic,85
bm25__llama3.2-1b__nomic,65
