key,readability_level
bm25__qwen2.5-0.5b__mxbai,45
bm25__qwen2.5-0.5b__mxbai,45
bm25__qwen2.5-0.5b__mxbai,72
bm25__qwen2.5-0.5b__mxbai,72
bm25__qwen2.5-0.5b__mxbai,45
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,55
bm25__qwen2.5-0.5b__mxbai,72
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,35
bm25__qwen2.5-0.5b__mxbai,55
bm25__qwen2.5-0.5b__mxbai,45
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,45
bm25__qwen2.5-0.5b__mxbai,65
bm25__qwen2.5-0.5b__mxbai,72
bm25__qwen2.5-0.5b__mxbai,65
