key,readability_level
bm25__qwen3-0.6b__mxbai,78
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,78
bm25__qwen3-0.6b__mxbai,55
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,85
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,65
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,72
bm25__qwen3-0.6b__mxbai,72
