key,readability_level
bm25__qwen3-0.6b__nomic,65
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,85
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,65
bm25__qwen3-0.6b__nomic,78
bm25__qwen3-0.6b__nomic,78
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,65
bm25__qwen3-0.6b__nomic,78
bm25__qwen3-0.6b__nomic,65
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,45
bm25__qwen3-0.6b__nomic,72
bm25__qwen3-0.6b__nomic,78
bm25__qwen3-0.6b__nomic,78
bm25__qwen3-0.6b__nomic,72
