key,readability_level
bm25__smollm2-1.7b__nomic,45
bm25__smollm2-1.7b__nomic,55
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,45
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,72
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,72
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,72
bm25__smollm2-1.7b__nomic,55
bm25__smollm2-1.7b__nomic,65
bm25__smollm2-1.7b__nomic,45
bm25__smollm2-1.7b__nomic,55
bm25__smollm2-1.7b__nomic,72
bm25__smollm2-1.7b__nomic,45
bm25__smollm2-1.7b__nomic,45
bm25__smollm2-1.7b__nomic,65
