key,readability_level
hybrid__falcon3-1b__mxbai,85
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,65
hybrid__falcon3-1b__mxbai,65
hybrid__falcon3-1b__mxbai,72
hybrid__falcon3-1b__mxbai,65
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,35
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,35
hybrid__falcon3-1b__mxbai,65
hybrid__falcon3-1b__mxbai,35
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,55
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,65
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,45
hybrid__falcon3-1b__mxbai,65
hybrid__falcon3-1b__mxbai,45
