key,readability_level
hybrid__falcon3-1b__nomic,35
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,55
hybrid__falcon3-1b__nomic,85
hybrid__falcon3-1b__nomic,72
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,72
hybrid__falcon3-1b__nomic,35
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,35
hybrid__falcon3-1b__nomic,72
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,65
hybrid__falcon3-1b__nomic,35
hybrid__falcon3-1b__nomic,45
hybrid__falcon3-1b__nomic,35
hybrid__falcon3-1b__nomic,65
hybrid__falcon3-1b__nomic,35
