key,readability_level
hybrid__gemma3-1b__nomic,78
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,85
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,85
hybrid__gemma3-1b__nomic,85
hybrid__gemma3-1b__nomic,87
hybrid__gemma3-1b__nomic,80
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,78
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,72
hybrid__gemma3-1b__nomic,72
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,78
hybrid__gemma3-1b__nomic,75
hybrid__gemma3-1b__nomic,85
hybrid__gemma3-1b__nomic,75
