key,readability_level
hybrid__granite3.1-moe:1b__mxbai,72
hybrid__granite3.1-moe:1b__mxbai,45
hybrid__granite3.1-moe:1b__mxbai,65
hybrid__granite3.1-moe:1b__mxbai,45
hybrid__granite3.1-moe:1b__mxbai,65
hybrid__granite3.1-moe:1b__mxbai,45
hybrid__granite3.1-moe:1b__mxbai,78
hybrid__granite3.1-moe:1b__mxbai,65
hybrid__granite3.1-moe:1b__mxbai,55
hybrid__granite3.1-moe:1b__mxbai,72
hybrid__granite3.1-moe:1b__mxbai,78
hybrid__granite3.1-moe:1b__mxbai,65
hybrid__granite3.1-moe:1b__mxbai,72
hybrid__granite3.1-moe:1b__mxbai,78
hybrid__granite3.1-moe:1b__mxbai,25
hybrid__granite3.1-moe:1b__mxbai,45
hybrid__granite3.1-moe:1b__mxbai,35
hybrid__granite3.1-moe:1b__mxbai,72
hybrid__granite3.1-moe:1b__mxbai,55
hybrid__granite3.1-moe:1b__mxbai,72
hybrid__granite3.1-moe:1b__mxbai,45
