key,readability_level
hybrid__granite3.1-moe:1b__nomic,65
hybrid__granite3.1-moe:1b__nomic,35
hybrid__granite3.1-moe:1b__nomic,55
hybrid__granite3.1-moe:1b__nomic,65
hybrid__granite3.1-moe:1b__nomic,72
hybrid__granite3.1-moe:1b__nomic,35
hybrid__granite3.1-moe:1b__nomic,72
hybrid__granite3.1-moe:1b__nomic,72
hybrid__granite3.1-moe:1b__nomic,55
hybrid__granite3.1-moe:1b__nomic,65
hybrid__granite3.1-moe:1b__nomic,72
hybrid__granite3.1-moe:1b__nomic,65
hybrid__granite3.1-moe:1b__nomic,72
hybrid__granite3.1-moe:1b__nomic,65
hybrid__granite3.1-moe:1b__nomic,78
hybrid__granite3.1-moe:1b__nomic,45
hybrid__granite3.1-moe:1b__nomic,45
hybrid__granite3.1-moe:1b__nomic,65
hybrid__granite3.1-moe:1b__nomic,45
hybrid__granite3.1-moe:1b__nomic,72
hybrid__granite3.1-moe:1b__nomic,65
