key,readability_level
hybrid__llama3.2-1b__mxbai,65
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,65
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,65
hybrid__llama3.2-1b__mxbai,65
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,78
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,78
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,65
hybrid__llama3.2-1b__mxbai,65
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,45
hybrid__llama3.2-1b__mxbai,72
hybrid__llama3.2-1b__mxbai,65
