key,readability_level
hybrid__qwen2.5-0.5b__mxbai,72
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,65
hybrid__qwen2.5-0.5b__mxbai,55
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,78
hybrid__qwen2.5-0.5b__mxbai,55
hybrid__qwen2.5-0.5b__mxbai,55
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,78
hybrid__qwen2.5-0.5b__mxbai,72
hybrid__qwen2.5-0.5b__mxbai,55
hybrid__qwen2.5-0.5b__mxbai,72
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,65
hybrid__qwen2.5-0.5b__mxbai,72
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,45
hybrid__qwen2.5-0.5b__mxbai,45
