key,readability_level
hybrid__qwen2.5-0.5b__nomic,65
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,65
hybrid__qwen2.5-0.5b__nomic,72
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,65
hybrid__qwen2.5-0.5b__nomic,55
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,65
hybrid__qwen2.5-0.5b__nomic,55
hybrid__qwen2.5-0.5b__nomic,65
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,45
hybrid__qwen2.5-0.5b__nomic,65
hybrid__qwen2.5-0.5b__nomic,55
hybrid__qwen2.5-0.5b__nomic,55
hybrid__qwen2.5-0.5b__nomic,65
