key,readability_level
hybrid__qwen3-0.6b__mxbai,55
hybrid__qwen3-0.6b__mxbai,78
hybrid__qwen3-0.6b__mxbai,65
hybrid__qwen3-0.6b__mxbai,65
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,85
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,65
hybrid__qwen3-0.6b__mxbai,65
hybrid__qwen3-0.6b__mxbai,55
hybrid__qwen3-0.6b__mxbai,72
hybrid__qwen3-0.6b__mxbai,78
hybrid__qwen3-0.6b__mxbai,78
hybrid__qwen3-0.6b__mxbai,72
