key,readability_level
hybrid__qwen3-0.6b__nomic,78
hybrid__qwen3-0.6b__nomic,65
hybrid__qwen3-0.6b__nomic,45
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,65
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,78
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,85
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,65
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,65
hybrid__qwen3-0.6b__nomic,65
hybrid__qwen3-0.6b__nomic,65
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,78
hybrid__qwen3-0.6b__nomic,72
hybrid__qwen3-0.6b__nomic,72
