key,readability_level
hybrid__smollm2-1.7b__mxbai,72
hybrid__smollm2-1.7b__mxbai,72
hybrid__smollm2-1.7b__mxbai,85
hybrid__smollm2-1.7b__mxbai,65
hybrid__smollm2-1.7b__mxbai,45
hybrid__smollm2-1.7b__mxbai,72
hybrid__smollm2-1.7b__mxbai,78
hybrid__smollm2-1.7b__mxbai,65
hybrid__smollm2-1.7b__mxbai,65
hybrid__smollm2-1.7b__mxbai,72
hybrid__smollm2-1.7b__mxbai,85
hybrid__smollm2-1.7b__mxbai,45
hybrid__smollm2-1.7b__mxbai,65
hybrid__smollm2-1.7b__mxbai,45
hybrid__smollm2-1.7b__mxbai,35
hybrid__smollm2-1.7b__mxbai,65
hybrid__smollm2-1.7b__mxbai,45
hybrid__smollm2-1.7b__mxbai,55
hybrid__smollm2-1.7b__mxbai,72
hybrid__smollm2-1.7b__mxbai,45
hybrid__smollm2-1.7b__mxbai,45
