key,readability_level
prompt__full__falcon3-1b,65
prompt__full__falcon3-1b,72
prompt__full__falcon3-1b,35
prompt__full__falcon3-1b,45
prompt__full__falcon3-1b,45
prompt__full__falcon3-1b,72
prompt__full__falcon3-1b,95
prompt__full__falcon3-1b,35
prompt__full__falcon3-1b,65
prompt__full__falcon3-1b,35
prompt__full__falcon3-1b,72
prompt__full__falcon3-1b,35
prompt__full__falcon3-1b,45
prompt__full__falcon3-1b,95
prompt__full__falcon3-1b,35
prompt__full__falcon3-1b,45
prompt__full__falcon3-1b,45
prompt__full__falcon3-1b,95
prompt__full__falcon3-1b,75
prompt__full__falcon3-1b,35
prompt__full__falcon3-1b,95
