key,readability_level
prompt__full__gemma3-1b,85
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,78
prompt__full__gemma3-1b,85
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,78
prompt__full__gemma3-1b,78
prompt__full__gemma3-1b,78
prompt__full__gemma3-1b,85
prompt__full__gemma3-1b,78
prompt__full__gemma3-1b,65
prompt__full__gemma3-1b,65
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,65
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,85
prompt__full__gemma3-1b,72
prompt__full__gemma3-1b,85
prompt__full__gemma3-1b,78
