key,readability_level
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,45
prompt__full__granite3.1-moe:1b,45
prompt__full__granite3.1-moe:1b,45
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,72
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,72
prompt__full__granite3.1-moe:1b,55
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,35
prompt__full__granite3.1-moe:1b,35
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,45
prompt__full__granite3.1-moe:1b,65
prompt__full__granite3.1-moe:1b,45
prompt__full__granite3.1-moe:1b,55
prompt__full__granite3.1-moe:1b,35
prompt__full__granite3.1-moe:1b,72
prompt__full__granite3.1-moe:1b,72
