key,readability_level
prompt__full__llama3.2-3b,78
prompt__full__llama3.2-3b,45
prompt__full__llama3.2-3b,55
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,85
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,78
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,78
prompt__full__llama3.2-3b,85
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,65
prompt__full__llama3.2-3b,85
prompt__full__llama3.2-3b,95
prompt__full__llama3.2-3b,65
prompt__full__llama3.2-3b,55
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,72
prompt__full__llama3.2-3b,85
prompt__full__llama3.2-3b,72
