key,readability_level
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,65
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,35
prompt__role_playing__falcon3-1b,45
prompt__role_playing__falcon3-1b,45
