key,readability_level
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,45
prompt__role_playing__smollm2-1.7b,35
prompt__role_playing__smollm2-1.7b,45
prompt__role_playing__smollm2-1.7b,35
prompt__role_playing__smollm2-1.7b,72
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,72
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,72
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,72
prompt__role_playing__smollm2-1.7b,72
prompt__role_playing__smollm2-1.7b,35
prompt__role_playing__smollm2-1.7b,65
prompt__role_playing__smollm2-1.7b,65
