key,readability_level
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,35
vector_rerank__falcon3-1b__mxbai,72
vector_rerank__falcon3-1b__mxbai,35
vector_rerank__falcon3-1b__mxbai,72
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,85
vector_rerank__falcon3-1b__mxbai,62
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,35
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,45
vector_rerank__falcon3-1b__mxbai,35
vector_rerank__falcon3-1b__mxbai,55
vector_rerank__falcon3-1b__mxbai,25
vector_rerank__falcon3-1b__mxbai,65
vector_rerank__falcon3-1b__mxbai,35
