key,readability_level
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,85
vector_rerank__gemma3-1b__mxbai,85
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,85
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,72
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,78
vector_rerank__gemma3-1b__mxbai,85
vector_rerank__gemma3-1b__mxbai,72
