key,readability_level
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,85
vector_rerank__gemma3-1b__nomic,72
vector_rerank__gemma3-1b__nomic,85
vector_rerank__gemma3-1b__nomic,85
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,85
vector_rerank__gemma3-1b__nomic,72
vector_rerank__gemma3-1b__nomic,72
vector_rerank__gemma3-1b__nomic,85
vector_rerank__gemma3-1b__nomic,65
vector_rerank__gemma3-1b__nomic,72
vector_rerank__gemma3-1b__nomic,72
vector_rerank__gemma3-1b__nomic,85
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,78
vector_rerank__gemma3-1b__nomic,78
