key,readability_level
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,65
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,35
vector_rerank__granite3.1-moe:1b__mxbai,65
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,55
vector_rerank__granite3.1-moe:1b__mxbai,55
vector_rerank__granite3.1-moe:1b__mxbai,65
vector_rerank__granite3.1-moe:1b__mxbai,65
vector_rerank__granite3.1-moe:1b__mxbai,65
vector_rerank__granite3.1-moe:1b__mxbai,65
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,45
vector_rerank__granite3.1-moe:1b__mxbai,25
vector_rerank__granite3.1-moe:1b__mxbai,68
vector_rerank__granite3.1-moe:1b__mxbai,35
vector_rerank__granite3.1-moe:1b__mxbai,72
vector_rerank__granite3.1-moe:1b__mxbai,55
