key,readability_level
vector_rerank__llama3.2-1b__mxbai,68
vector_rerank__llama3.2-1b__mxbai,55
vector_rerank__llama3.2-1b__mxbai,85
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,85
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,45
vector_rerank__llama3.2-1b__mxbai,78
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,65
vector_rerank__llama3.2-1b__mxbai,65
vector_rerank__llama3.2-1b__mxbai,78
vector_rerank__llama3.2-1b__mxbai,45
vector_rerank__llama3.2-1b__mxbai,72
vector_rerank__llama3.2-1b__mxbai,65
