key,readability_level
vector_rerank__qwen2.5-0.5b__mxbai,55
vector_rerank__qwen2.5-0.5b__mxbai,55
vector_rerank__qwen2.5-0.5b__mxbai,65
vector_rerank__qwen2.5-0.5b__mxbai,45
vector_rerank__qwen2.5-0.5b__mxbai,45
vector_rerank__qwen2.5-0.5b__mxbai,55
vector_rerank__qwen2.5-0.5b__mxbai,65
vector_rerank__qwen2.5-0.5b__mxbai,65
vector_rerank__qwen2.5-0.5b__mxbai,72
vector_rerank__qwen2.5-0.5b__mxbai,45
vector_rerank__qwen2.5-0.5b__mxbai,72
vector_rerank__qwen2.5-0.5b__mxbai,55
vector_rerank__qwen2.5-0.5b__mxbai,72
vector_rerank__qwen2.5-0.5b__mxbai,65
vector_rerank__qwen2.5-0.5b__mxbai,45
vector_rerank__qwen2.5-0.5b__mxbai,55
vector_rerank__qwen2.5-0.5b__mxbai,72
vector_rerank__qwen2.5-0.5b__mxbai,35
vector_rerank__qwen2.5-0.5b__mxbai,35
vector_rerank__qwen2.5-0.5b__mxbai,55
