key,readability_level
vector_rerank__qwen3-0.6b__mxbai,75
vector_rerank__qwen3-0.6b__mxbai,75
vector_rerank__qwen3-0.6b__mxbai,55
vector_rerank__qwen3-0.6b__mxbai,73
vector_rerank__qwen3-0.6b__mxbai,65
vector_rerank__qwen3-0.6b__mxbai,76
vector_rerank__qwen3-0.6b__mxbai,85
vector_rerank__qwen3-0.6b__mxbai,68
vector_rerank__qwen3-0.6b__mxbai,55
vector_rerank__qwen3-0.6b__mxbai,25
vector_rerank__qwen3-0.6b__mxbai,85
vector_rerank__qwen3-0.6b__mxbai,53
vector_rerank__qwen3-0.6b__mxbai,65
vector_rerank__qwen3-0.6b__mxbai,75
vector_rerank__qwen3-0.6b__mxbai,72
vector_rerank__qwen3-0.6b__mxbai,25
vector_rerank__qwen3-0.6b__mxbai,65
vector_rerank__qwen3-0.6b__mxbai,73
vector_rerank__qwen3-0.6b__mxbai,45
vector_rerank__qwen3-0.6b__mxbai,75
vector_rerank__qwen3-0.6b__mxbai,65
