key,readability_level
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,72
vector_store__gemma3-1b__mxbai,85
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,85
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,72
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,65
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,72
vector_store__gemma3-1b__mxbai,78
vector_store__gemma3-1b__mxbai,72
vector_store__gemma3-1b__mxbai,85
vector_store__gemma3-1b__mxbai,72
