key,readability_level
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,72
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,85
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,85
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,72
vector_store__gemma3-1b__nomic,78
vector_store__gemma3-1b__nomic,72
vector_store__gemma3-1b__nomic,85
vector_store__gemma3-1b__nomic,72
