key,readability_level
vector_store__granite3.1-moe:1b__mxbai,72
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,72
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,45
vector_store__granite3.1-moe:1b__mxbai,78
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,72
vector_store__granite3.1-moe:1b__mxbai,72
vector_store__granite3.1-moe:1b__mxbai,72
vector_store__granite3.1-moe:1b__mxbai,35
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,65
vector_store__granite3.1-moe:1b__mxbai,45
vector_store__granite3.1-moe:1b__mxbai,35
vector_store__granite3.1-moe:1b__mxbai,72
vector_store__granite3.1-moe:1b__mxbai,45
vector_store__granite3.1-moe:1b__mxbai,78
vector_store__granite3.1-moe:1b__mxbai,72
