key,readability_level
vector_store__llama3.2-1b__nomic,55
vector_store__llama3.2-1b__nomic,38
vector_store__llama3.2-1b__nomic,25
vector_store__llama3.2-1b__nomic,38
vector_store__llama3.2-1b__nomic,45
vector_store__llama3.2-1b__nomic,40
vector_store__llama3.2-1b__nomic,62
vector_store__llama3.2-1b__nomic,55
vector_store__llama3.2-1b__nomic,55
vector_store__llama3.2-1b__nomic,63
vector_store__llama3.2-1b__nomic,62
vector_store__llama3.2-1b__nomic,65
vector_store__llama3.2-1b__nomic,65
vector_store__llama3.2-1b__nomic,75
vector_store__llama3.2-1b__nomic,75
vector_store__llama3.2-1b__nomic,15
vector_store__llama3.2-1b__nomic,52
vector_store__llama3.2-1b__nomic,67
vector_store__llama3.2-1b__nomic,15
vector_store__llama3.2-1b__nomic,75
vector_store__llama3.2-1b__nomic,38
