key,readability_level
vector_store__qwen2.5-0.5b__mxbai,55
vector_store__qwen2.5-0.5b__mxbai,45
vector_store__qwen2.5-0.5b__mxbai,45
vector_store__qwen2.5-0.5b__mxbai,65
vector_store__qwen2.5-0.5b__mxbai,72
vector_store__qwen2.5-0.5b__mxbai,55
vector_store__qwen2.5-0.5b__mxbai,72
vector_store__qwen2.5-0.5b__mxbai,65
vector_store__qwen2.5-0.5b__mxbai,55
vector_store__qwen2.5-0.5b__mxbai,65
vector_store__qwen2.5-0.5b__mxbai,72
vector_store__qwen2.5-0.5b__mxbai,55
vector_store__qwen2.5-0.5b__mxbai,55
vector_store__qwen2.5-0.5b__mxbai,45
vector_store__qwen2.5-0.5b__mxbai,72
vector_store__qwen2.5-0.5b__mxbai,45
vector_store__qwen2.5-0.5b__mxbai,65
vector_store__qwen2.5-0.5b__mxbai,85
vector_store__qwen2.5-0.5b__mxbai,45
vector_store__qwen2.5-0.5b__mxbai,72
vector_store__qwen2.5-0.5b__mxbai,65
