key,readability_level
vector_store__qwen3-0.6b__mxbai,65
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,65
vector_store__qwen3-0.6b__mxbai,78
vector_store__qwen3-0.6b__mxbai,65
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,65
vector_store__qwen3-0.6b__mxbai,78
vector_store__qwen3-0.6b__mxbai,55
vector_store__qwen3-0.6b__mxbai,65
vector_store__qwen3-0.6b__mxbai,55
vector_store__qwen3-0.6b__mxbai,78
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,72
vector_store__qwen3-0.6b__mxbai,65
