key,readability_level
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,78
vector_store__qwen3-0.6b__nomic,72
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,72
vector_store__qwen3-0.6b__nomic,85
vector_store__qwen3-0.6b__nomic,85
vector_store__qwen3-0.6b__nomic,72
vector_store__qwen3-0.6b__nomic,78
vector_store__qwen3-0.6b__nomic,78
vector_store__qwen3-0.6b__nomic,72
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,72
vector_store__qwen3-0.6b__nomic,55
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,65
vector_store__qwen3-0.6b__nomic,78
vector_store__qwen3-0.6b__nomic,72
vector_store__qwen3-0.6b__nomic,65
