key,readability_level
vector_store__smollm2-1.7b__mxbai,25
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,42
vector_store__smollm2-1.7b__mxbai,76
vector_store__smollm2-1.7b__mxbai,25
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,95
vector_store__smollm2-1.7b__mxbai,22
vector_store__smollm2-1.7b__mxbai,38
vector_store__smollm2-1.7b__mxbai,10
vector_store__smollm2-1.7b__mxbai,5
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,5
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,10
vector_store__smollm2-1.7b__mxbai,15
vector_store__smollm2-1.7b__mxbai,5
