key,readability_level
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,62
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,85
vector_store__smollm2-1.7b__nomic,72
vector_store__smollm2-1.7b__nomic,55
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,45
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,65
vector_store__smollm2-1.7b__nomic,85
vector_store__smollm2-1.7b__nomic,45
