key,ttr,gulpease,flesch_vacca,lexical_density
bm25__deepseek-r1-1.5b__nomic,61.940298507462686,62.73134328358209,48.34079601990049,58.95522388059702
bm25__deepseek-r1-1.5b__nomic,50.0,63.913043478260875,57.717391304347814,56.086956521739125
bm25__deepseek-r1-1.5b__nomic,0.1841212094323299,56.53898711151534,54.825048517292814,67.25969963841256
bm25__deepseek-r1-1.5b__nomic,47.30538922155689,58.700598802395206,51.16388961208017,47.604790419161674
bm25__deepseek-r1-1.5b__nomic,89.13043478260869,56.17391304347826,37.65217391304347,60.86956521739131
bm25__deepseek-r1-1.5b__nomic,70.47619047619048,46.904761904761905,33.952380952380935,58.0952380952381
bm25__deepseek-r1-1.5b__nomic,91.66666666666666,54.5,54.49999999999997,50.0
bm25__deepseek-r1-1.5b__nomic,73.45971563981043,71.27488151658767,66.33684395295768,28.436018957345972
bm25__deepseek-r1-1.5b__nomic,0.10737377745617516,53.55404869167386,18.27417431679868,62.77864662356154
bm25__deepseek-r1-1.5b__nomic,68.48484848484848,60.878787878787875,71.58041958041957,25.454545454545453
bm25__deepseek-r1-1.5b__nomic,71.42857142857143,48.76190476190476,45.71428571428572,61.904761904761905
bm25__deepseek-r1-1.5b__nomic,69.73684210526315,53.80263157894737,41.22787081339714,61.8421052631579
bm25__deepseek-r1-1.5b__nomic,75.30864197530865,49.0,30.10864197530866,58.0246913580247
bm25__deepseek-r1-1.5b__nomic,59.93031358885017,61.26480836236934,47.97547574376842,56.09756097560976
bm25__deepseek-r1-1.5b__nomic,84.61538461538461,51.15384615384615,41.75,63.07692307692307
bm25__deepseek-r1-1.5b__nomic,68.07228915662651,51.2289156626506,39.038554216867475,60.8433734939759
bm25__deepseek-r1-1.5b__nomic,88.23529411764706,65.76470588235294,19.49411764705881,73.52941176470588
bm25__deepseek-r1-1.5b__nomic,42.5531914893617,59.53191489361702,41.70638297872339,67.02127659574468
bm25__deepseek-r1-1.5b__nomic,77.47747747747748,48.549549549549546,26.40427927927928,54.95495495495496
bm25__deepseek-r1-1.5b__nomic,71.83098591549296,51.11267605633803,49.09507042253523,63.38028169014085
bm25__deepseek-r1-1.5b__nomic,66.42857142857143,56.0,45.28571428571428,60.0
