key,ttr,gulpease,flesch_vacca,lexical_density
bm25__falcon3-1b__mxbai,66.35514018691589,56.00934579439252,50.99465954606142,58.87850467289719
bm25__falcon3-1b__mxbai,90.9090909090909,45.59090909090909,33.318181818181785,61.36363636363637
bm25__falcon3-1b__mxbai,100.0,72.84615384615384,39.5,61.53846153846154
bm25__falcon3-1b__mxbai,100.0,63.0,46.5,50.0
bm25__falcon3-1b__mxbai,100.0,55.470588235294116,51.35294117647058,52.94117647058824
bm25__falcon3-1b__mxbai,100.0,59.0,53.099999999999994,52.0
bm25__falcon3-1b__mxbai,39.59899749373433,43.43609022556391,28.765664160401002,55.388471177944865
bm25__falcon3-1b__mxbai,44.92099322799097,46.69751693002257,35.51716763692529,57.11060948081265
bm25__falcon3-1b__mxbai,58.1151832460733,53.55497382198953,45.653242045912194,59.16230366492147
bm25__falcon3-1b__mxbai,65.2,55.84,42.35111111111112,53.6
bm25__falcon3-1b__mxbai,54.807692307692314,44.43269230769231,30.973214285714285,52.40384615384615
bm25__falcon3-1b__mxbai,60.0,51.970588235294116,38.75133689839571,53.529411764705884
bm25__falcon3-1b__mxbai,65.9090909090909,48.65909090909091,36.24090909090909,60.22727272727273
bm25__falcon3-1b__mxbai,47.465437788018434,60.382488479262676,51.80385944700461,53.45622119815668
bm25__falcon3-1b__mxbai,63.51351351351351,54.810810810810814,38.19369369369367,56.75675675675676
bm25__falcon3-1b__mxbai,42.830882352941174,46.00367647058823,33.21058823529408,58.63970588235294
bm25__falcon3-1b__mxbai,60.16597510373444,43.85477178423236,29.007921539041856,58.09128630705395
bm25__falcon3-1b__mxbai,80.50847457627118,44.76271186440678,24.384180790960432,61.016949152542374
bm25__falcon3-1b__mxbai,94.54545454545455,37.90909090909091,14.22727272727272,54.54545454545454
bm25__falcon3-1b__mxbai,87.17948717948718,63.35897435897436,59.666666666666686,53.84615384615385
bm25__falcon3-1b__mxbai,84.0909090909091,59.45454545454545,35.45454545454547,59.09090909090909
