key,ttr,gulpease,flesch_vacca,lexical_density
bm25__llama3.2-1b__mxbai,53.6,49.96,35.93333333333332,57.199999999999996
bm25__llama3.2-1b__mxbai,58.415841584158414,48.37293729372937,34.99141914191419,58.415841584158414
bm25__llama3.2-1b__mxbai,100.0,56.0,33.5,70.0
bm25__llama3.2-1b__mxbai,58.65384615384615,47.125,30.21590909090909,60.09615384615385
bm25__llama3.2-1b__mxbai,57.861635220125784,56.484276729559745,52.96054888507716,55.34591194968554
bm25__llama3.2-1b__mxbai,91.42857142857143,48.142857142857146,36.21428571428572,62.857142857142854
bm25__llama3.2-1b__mxbai,58.415841584158414,60.584158415841586,52.75618811881185,55.940594059405946
bm25__llama3.2-1b__mxbai,60.079051383399204,55.83794466403162,38.790929893904696,57.31225296442688
bm25__llama3.2-1b__mxbai,68.34170854271356,45.18090452261306,29.391401451702936,58.291457286432156
bm25__llama3.2-1b__mxbai,67.37288135593221,52.686440677966104,40.71158192090395,57.6271186440678
bm25__llama3.2-1b__mxbai,63.69426751592356,63.01273885350318,57.71288584027435,49.044585987261144
bm25__llama3.2-1b__mxbai,54.49101796407185,59.02994011976048,49.92031321971441,55.38922155688623
bm25__llama3.2-1b__mxbai,40.53030303030303,45.85606060606061,27.377913752913756,57.95454545454546
bm25__llama3.2-1b__mxbai,65.4471544715447,55.17886178861789,50.61626016260161,56.09756097560976
bm25__llama3.2-1b__mxbai,60.0,52.4468085106383,34.51689612015018,56.17021276595745
bm25__llama3.2-1b__mxbai,58.57142857142858,55.464285714285715,47.21230158730158,59.285714285714285
bm25__llama3.2-1b__mxbai,50.0,57.2311320754717,44.14208118925103,58.72641509433962
bm25__llama3.2-1b__mxbai,54.38066465256798,61.93051359516616,45.881493031868224,57.09969788519638
bm25__llama3.2-1b__mxbai,62.23404255319149,43.8936170212766,27.60638297872339,56.91489361702128
bm25__llama3.2-1b__mxbai,76.13636363636364,49.11363636363637,39.96590909090909,53.40909090909091
bm25__llama3.2-1b__mxbai,81.35593220338984,52.559322033898304,39.21610169491524,57.6271186440678
