key,ttr,gulpease,flesch_vacca,lexical_density
bm25__llama3.2-1b__nomic,90.2439024390244,48.26829268292683,34.89024390243901,63.41463414634146
bm25__llama3.2-1b__nomic,58.09128630705395,47.71369294605809,35.750660128253486,59.33609958506224
bm25__llama3.2-1b__nomic,53.37423312883436,57.00613496932515,49.862896772472666,57.668711656441715
bm25__llama3.2-1b__nomic,51.55038759689923,53.37984496124031,38.235006119951024,56.97674418604651
bm25__llama3.2-1b__nomic,61.36363636363637,49.79545454545455,39.96590909090909,57.95454545454546
bm25__llama3.2-1b__nomic,80.0,44.2,27.400000000000006,57.99999999999999
bm25__llama3.2-1b__nomic,63.601532567049816,56.509578544061306,51.718151340996144,57.47126436781609
bm25__llama3.2-1b__nomic,58.87096774193549,43.596774193548384,22.850496277915614,58.06451612903226
bm25__llama3.2-1b__nomic,49.839228295819936,51.31511254019293,32.02556270096464,60.12861736334405
bm25__llama3.2-1b__nomic,62.264150943396224,55.490566037735846,45.3733862959285,56.9811320754717
bm25__llama3.2-1b__nomic,95.65217391304348,56.391304347826086,39.065217391304344,56.52173913043478
bm25__llama3.2-1b__nomic,50.27777777777778,57.0,39.03065134099618,57.77777777777777
bm25__llama3.2-1b__nomic,56.17977528089888,47.53932584269663,31.54269662921349,57.865168539325836
bm25__llama3.2-1b__nomic,60.85271317829457,61.945736434108525,54.78604651162792,51.93798449612403
bm25__llama3.2-1b__nomic,49.67741935483871,47.03225806451613,31.849462365591382,59.03225806451613
bm25__llama3.2-1b__nomic,55.55555555555556,57.49673202614379,47.189116226200625,58.82352941176471
bm25__llama3.2-1b__nomic,53.105590062111794,54.683229813664596,43.9120082815735,58.38509316770186
bm25__llama3.2-1b__nomic,56.25,57.625,39.083333333333314,58.333333333333336
bm25__llama3.2-1b__nomic,57.30337078651685,52.89513108614232,47.24494382022469,57.67790262172284
bm25__llama3.2-1b__nomic,95.1219512195122,41.68292682926829,25.378048780487802,63.41463414634146
bm25__llama3.2-1b__nomic,54.25101214574899,52.96761133603239,45.68421052631575,57.08502024291497
