key,ttr,gulpease,flesch_vacca,lexical_density
bm25__qwen2.5-0.5b__mxbai,62.35294117647059,41.76470588235294,23.196078431372552,55.88235294117647
bm25__qwen2.5-0.5b__mxbai,66.4804469273743,46.262569832402235,34.08778930566639,56.98324022346368
bm25__qwen2.5-0.5b__mxbai,88.37209302325581,40.16279069767442,22.75581395348837,65.11627906976744
bm25__qwen2.5-0.5b__mxbai,67.3076923076923,56.69230769230769,57.70000000000002,53.84615384615385
bm25__qwen2.5-0.5b__mxbai,67.3913043478261,51.17391304347826,48.415217391304346,58.69565217391305
bm25__qwen2.5-0.5b__mxbai,86.15384615384616,46.84615384615385,23.75,61.53846153846154
bm25__qwen2.5-0.5b__mxbai,60.19900497512438,48.75124378109453,38.46766169154229,59.20398009950249
bm25__qwen2.5-0.5b__mxbai,63.793103448275865,45.206896551724135,33.211822660098505,53.44827586206896
bm25__qwen2.5-0.5b__mxbai,65.86826347305389,43.97005988023952,25.544161676646695,59.2814371257485
bm25__qwen2.5-0.5b__mxbai,62.65822784810127,61.088607594936704,45.7902350813743,53.79746835443038
bm25__qwen2.5-0.5b__mxbai,56.02836879432624,62.08510638297872,58.20721554116555,52.836879432624116
bm25__qwen2.5-0.5b__mxbai,81.15942028985508,47.405797101449274,37.927536231884034,60.86956521739131
bm25__qwen2.5-0.5b__mxbai,93.33333333333333,49.44444444444444,39.05555555555554,55.55555555555556
bm25__qwen2.5-0.5b__mxbai,51.566265060240966,55.31325301204819,48.90602409638554,53.73493975903615
bm25__qwen2.5-0.5b__mxbai,88.67924528301887,43.339622641509436,28.65094339622641,56.60377358490566
bm25__qwen2.5-0.5b__mxbai,75.75757575757575,48.696969696969695,38.118686868686865,53.535353535353536
bm25__qwen2.5-0.5b__mxbai,64.42307692307693,54.09615384615385,38.0,62.5
bm25__qwen2.5-0.5b__mxbai,60.317460317460316,47.45238095238095,32.043650793650784,57.936507936507944
bm25__qwen2.5-0.5b__mxbai,89.83050847457628,43.74576271186441,27.689265536723145,61.016949152542374
bm25__qwen2.5-0.5b__mxbai,65.75342465753424,61.328767123287676,53.14840182648401,58.9041095890411
bm25__qwen2.5-0.5b__mxbai,59.88023952095808,50.377245508982035,42.66991017964071,59.88023952095808
