key,ttr,gulpease,flesch_vacca,lexical_density
bm25__qwen3-0.6b__mxbai,88.09523809523809,62.57142857142857,48.47619047619045,57.14285714285714
bm25__qwen3-0.6b__mxbai,96.96969696969697,57.484848484848484,37.42424242424241,69.6969696969697
bm25__qwen3-0.6b__mxbai,95.91836734693877,53.08163265306123,39.87244897959184,61.224489795918366
bm25__qwen3-0.6b__mxbai,60.0,52.45454545454545,47.03030303030302,56.36363636363636
bm25__qwen3-0.6b__mxbai,73.46938775510205,58.38775510204081,49.158163265306115,57.14285714285714
bm25__qwen3-0.6b__mxbai,83.05084745762711,50.355932203389834,30.402542372881356,54.23728813559322
bm25__qwen3-0.6b__mxbai,78.18181818181819,52.63636363636363,42.3030303030303,54.54545454545454
bm25__qwen3-0.6b__mxbai,70.2127659574468,47.08510638297872,24.37588652482267,60.63829787234043
bm25__qwen3-0.6b__mxbai,78.33333333333333,48.0,24.166666666666657,61.66666666666667
bm25__qwen3-0.6b__mxbai,87.71929824561403,49.526315789473685,22.407017543859673,68.42105263157895
bm25__qwen3-0.6b__mxbai,80.64516129032258,56.25806451612903,52.11290322580646,54.83870967741935
bm25__qwen3-0.6b__mxbai,78.4090909090909,64.22727272727272,42.58585858585857,54.54545454545454
bm25__qwen3-0.6b__mxbai,58.108108108108105,44.0,22.34684684684682,55.4054054054054
bm25__qwen3-0.6b__mxbai,79.3103448275862,54.632183908045974,38.339080459770116,56.32183908045977
bm25__qwen3-0.6b__mxbai,93.93939393939394,60.515151515151516,45.30303030303028,63.63636363636363
bm25__qwen3-0.6b__mxbai,74.0,56.8,47.414285714285676,59.0
bm25__qwen3-0.6b__mxbai,77.61194029850746,50.04477611940298,39.11442786069652,56.71641791044776
bm25__qwen3-0.6b__mxbai,84.28571428571429,47.285714285714285,17.428571428571445,65.71428571428571
bm25__qwen3-0.6b__mxbai,83.33333333333334,51.916666666666664,32.854166666666686,66.66666666666666
bm25__qwen3-0.6b__mxbai,87.5,51.67857142857143,38.78571428571428,64.28571428571429
bm25__qwen3-0.6b__mxbai,87.93103448275862,60.03448275862069,49.831034482758604,63.793103448275865
