key,ttr,gulpease,flesch_vacca,lexical_density
bm25__qwen3-0.6b__nomic,88.0,52.4,31.0,66.0
bm25__qwen3-0.6b__nomic,72.85714285714285,51.714285714285715,43.64285714285714,57.14285714285714
bm25__qwen3-0.6b__nomic,83.72093023255815,57.13953488372093,38.040697674418595,58.139534883720934
bm25__qwen3-0.6b__nomic,97.5,58.75,49.666666666666636,55.00000000000001
bm25__qwen3-0.6b__nomic,80.7017543859649,54.96491228070175,44.64473684210526,56.14035087719298
bm25__qwen3-0.6b__nomic,90.0,58.6,30.900000000000006,62.0
bm25__qwen3-0.6b__nomic,88.88888888888889,72.7037037037037,57.37037037037035,55.55555555555556
bm25__qwen3-0.6b__nomic,80.64516129032258,50.61290322580645,37.435483870967744,56.451612903225815
bm25__qwen3-0.6b__nomic,80.0,57.0,34.03333333333333,60.0
bm25__qwen3-0.6b__nomic,77.33333333333333,51.666666666666664,39.333333333333314,57.333333333333336
bm25__qwen3-0.6b__nomic,78.48101265822784,56.9746835443038,51.149367088607605,55.69620253164557
bm25__qwen3-0.6b__nomic,78.37837837837837,51.027027027027025,40.81081081081081,58.108108108108105
bm25__qwen3-0.6b__nomic,61.8421052631579,49.26315789473684,35.61842105263156,56.57894736842105
bm25__qwen3-0.6b__nomic,79.54545454545455,59.11363636363636,53.208333333333336,53.40909090909091
bm25__qwen3-0.6b__nomic,81.81818181818183,50.45454545454545,32.70454545454547,58.18181818181818
bm25__qwen3-0.6b__nomic,75.82417582417582,55.26373626373626,38.714285714285694,61.53846153846154
bm25__qwen3-0.6b__nomic,79.66101694915254,49.0,40.90960451977402,62.71186440677966
bm25__qwen3-0.6b__nomic,80.32786885245902,51.950819672131146,34.110655737704946,62.295081967213115
bm25__qwen3-0.6b__nomic,94.73684210526315,61.10526315789474,40.84210526315786,63.1578947368421
bm25__qwen3-0.6b__nomic,84.05797101449275,47.26086956521739,35.19927536231884,71.01449275362319
bm25__qwen3-0.6b__nomic,86.20689655172413,55.724137931034484,48.051724137931046,62.06896551724138
