key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__deepseek-r1-1.5b__nomic,68.46846846846847,50.711711711711715,29.332207207207176,65.76576576576578
hybrid__deepseek-r1-1.5b__nomic,85.91549295774648,50.40845070422535,38.10915492957747,53.52112676056338
hybrid__deepseek-r1-1.5b__nomic,70.64220183486239,51.93577981651376,39.557011795543886,65.13761467889908
hybrid__deepseek-r1-1.5b__nomic,66.86746987951807,51.46987951807229,37.41511500547645,57.831325301204814
hybrid__deepseek-r1-1.5b__nomic,87.09677419354838,57.064516129032256,30.021505376344074,54.83870967741935
hybrid__deepseek-r1-1.5b__nomic,0.3322700691121744,52.302498670919725,41.13539074960125,63.471557682084004
hybrid__deepseek-r1-1.5b__nomic,62.721893491124256,58.053254437869825,69.15384615384615,43.19526627218935
hybrid__deepseek-r1-1.5b__nomic,60.32608695652174,58.836956521739125,45.07065217391306,50.54347826086957
hybrid__deepseek-r1-1.5b__nomic,47.5609756097561,50.98170731707317,37.19497677119628,58.84146341463414
hybrid__deepseek-r1-1.5b__nomic,59.47712418300654,61.287581699346404,37.97344771241828,52.28758169934641
hybrid__deepseek-r1-1.5b__nomic,79.03225806451613,55.29032258064516,60.5,30.64516129032258
hybrid__deepseek-r1-1.5b__nomic,66.05839416058394,59.25547445255474,62.663598857505555,32.481751824817515
hybrid__deepseek-r1-1.5b__nomic,63.55140186915887,47.598130841121495,32.73084112149534,55.140186915887845
hybrid__deepseek-r1-1.5b__nomic,83.47107438016529,48.83471074380165,56.028335301062576,33.057851239669425
hybrid__deepseek-r1-1.5b__nomic,66.91176470588235,49.0,47.02859477124181,30.14705882352941
hybrid__deepseek-r1-1.5b__nomic,90.38461538461539,57.46153846153846,34.35,63.46153846153846
hybrid__deepseek-r1-1.5b__nomic,100.0,64.65217391304347,67.32608695652173,56.52173913043478
hybrid__deepseek-r1-1.5b__nomic,35.57692307692308,43.967948717948715,23.714285714285715,58.97435897435898
hybrid__deepseek-r1-1.5b__nomic,0.2677273770366404,53.8769728957903,47.05799116386363,62.0388077207476
hybrid__deepseek-r1-1.5b__nomic,81.33333333333333,56.733333333333334,47.03333333333333,57.333333333333336
hybrid__deepseek-r1-1.5b__nomic,89.02439024390245,54.853658536585364,50.8101045296167,28.04878048780488
