key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__gemma3-1b__nomic,100.0,64.0,27.375,58.333333333333336
hybrid__gemma3-1b__nomic,88.37209302325581,55.97674418604651,42.015503875968996,62.7906976744186
hybrid__gemma3-1b__nomic,93.33333333333333,52.0,35.0,60.0
hybrid__gemma3-1b__nomic,96.875,53.375,35.625,59.375
hybrid__gemma3-1b__nomic,86.66666666666667,71.33333333333333,72.50000000000001,53.333333333333336
hybrid__gemma3-1b__nomic,93.75,40.875,11.25,56.25
hybrid__gemma3-1b__nomic,84.44444444444444,89.44444444444444,71.01587301587303,57.77777777777777
hybrid__gemma3-1b__nomic,63.084112149532714,50.44859813084112,38.92863211554801,55.140186915887845
hybrid__gemma3-1b__nomic,80.21978021978022,47.68131868131868,34.22857142857141,59.34065934065934
hybrid__gemma3-1b__nomic,61.8421052631579,56.56578947368421,52.696637426900566,53.94736842105263
hybrid__gemma3-1b__nomic,85.1063829787234,65.38297872340425,60.10106382978722,53.191489361702125
hybrid__gemma3-1b__nomic,73.01587301587301,49.15873015873016,27.234126984126988,61.904761904761905
hybrid__gemma3-1b__nomic,75.80645161290323,48.67741935483871,29.048387096774206,54.83870967741935
hybrid__gemma3-1b__nomic,71.42857142857143,53.53781512605042,45.89075630252097,53.78151260504202
hybrid__gemma3-1b__nomic,87.5,50.75,22.041666666666664,60.0
hybrid__gemma3-1b__nomic,77.14285714285715,50.904761904761905,40.547619047619065,60.0
hybrid__gemma3-1b__nomic,77.31958762886599,45.70103092783505,28.455670103092793,54.63917525773196
hybrid__gemma3-1b__nomic,83.5820895522388,60.791044776119406,38.639303482587046,58.2089552238806
hybrid__gemma3-1b__nomic,85.9375,48.84375,32.578125,64.0625
hybrid__gemma3-1b__nomic,94.5945945945946,53.054054054054056,33.801801801801766,59.45945945945946
hybrid__gemma3-1b__nomic,87.75510204081633,61.04081632653062,57.11734693877551,59.183673469387756
