key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__llama3.2-1b__mxbai,67.53246753246754,48.35064935064935,37.96103896103895,62.33766233766234
hybrid__llama3.2-1b__mxbai,73.33333333333333,55.4,38.53030303030302,57.99999999999999
hybrid__llama3.2-1b__mxbai,81.65137614678899,48.908256880733944,38.15443425076451,62.38532110091744
hybrid__llama3.2-1b__mxbai,50.36496350364964,47.832116788321166,36.798053527980514,58.3941605839416
hybrid__llama3.2-1b__mxbai,86.15384615384616,45.0,27.333333333333332,58.46153846153847
hybrid__llama3.2-1b__mxbai,85.71428571428571,51.5,44.49761904761904,58.333333333333336
hybrid__llama3.2-1b__mxbai,89.47368421052632,49.0,41.60526315789474,60.526315789473685
hybrid__llama3.2-1b__mxbai,55.45023696682464,54.33175355450237,41.578607615623454,55.92417061611374
hybrid__llama3.2-1b__mxbai,60.370370370370374,46.074074074074076,29.95299145299146,58.14814814814815
hybrid__llama3.2-1b__mxbai,49.16067146282973,51.25419664268585,41.47871702637889,53.71702637889688
hybrid__llama3.2-1b__mxbai,54.385964912280706,53.239766081871345,45.07602339181287,58.47953216374269
hybrid__llama3.2-1b__mxbai,60.51660516605166,64.31365313653137,52.385041158103874,58.671586715867164
hybrid__llama3.2-1b__mxbai,39.42307692307692,57.01282051282051,38.93666666666665,58.97435897435898
hybrid__llama3.2-1b__mxbai,63.970588235294116,57.19852941176471,49.257739938080455,57.720588235294116
hybrid__llama3.2-1b__mxbai,58.59872611464968,48.745222929936304,40.783227176220805,59.554140127388536
hybrid__llama3.2-1b__mxbai,53.18559556786704,47.58725761772853,36.51229224376729,59.0027700831025
hybrid__llama3.2-1b__mxbai,58.74125874125874,50.78321678321678,35.56565656565658,53.4965034965035
hybrid__llama3.2-1b__mxbai,53.78151260504202,46.983193277310924,31.968678380443084,53.78151260504202
hybrid__llama3.2-1b__mxbai,47.96511627906977,51.81976744186046,40.511015911872676,57.55813953488372
hybrid__llama3.2-1b__mxbai,70.8029197080292,50.45985401459854,40.37135036496349,56.20437956204379
hybrid__llama3.2-1b__mxbai,69.71830985915493,50.478873239436616,37.65140845070425,54.929577464788736
