key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__llama3.2-1b__nomic,66.44736842105263,45.44736842105263,29.63157894736841,63.81578947368421
hybrid__llama3.2-1b__nomic,61.24401913875598,46.08133971291866,28.698564593301427,63.1578947368421
hybrid__llama3.2-1b__nomic,52.490421455938694,48.50191570881226,38.49012673150601,58.23754789272031
hybrid__llama3.2-1b__nomic,62.31884057971014,49.72463768115942,42.03243616287095,51.690821256038646
hybrid__llama3.2-1b__nomic,65.4639175257732,51.78350515463917,46.548453608247435,59.27835051546392
hybrid__llama3.2-1b__nomic,54.589371980676326,50.98067632850242,37.083333333333314,55.55555555555556
hybrid__llama3.2-1b__nomic,75.0,47.645833333333336,37.10416666666666,46.875
hybrid__llama3.2-1b__nomic,53.75494071146245,56.23320158102767,45.50175669740888,55.73122529644269
hybrid__llama3.2-1b__nomic,74.80314960629921,54.118110236220474,32.07952755905511,54.330708661417326
hybrid__llama3.2-1b__nomic,46.454767726161364,53.59657701711492,44.37681023133345,53.54523227383863
hybrid__llama3.2-1b__nomic,54.54545454545454,50.3986013986014,44.89393939393936,55.24475524475524
hybrid__llama3.2-1b__nomic,52.71493212669684,58.20814479638009,44.01633986928103,57.01357466063348
hybrid__llama3.2-1b__nomic,50.0,49.93283582089552,35.723880597014926,59.32835820895522
hybrid__llama3.2-1b__nomic,49.62406015037594,47.62155388471178,38.030664897537946,53.63408521303258
hybrid__llama3.2-1b__nomic,55.44554455445545,50.353135313531354,38.14356435643565,58.745874587458744
hybrid__llama3.2-1b__nomic,85.55555555555556,57.55555555555556,48.69841269841268,60.0
hybrid__llama3.2-1b__nomic,45.81005586592179,56.374301675977655,41.245011971268944,56.424581005586596
hybrid__llama3.2-1b__nomic,62.28070175438597,48.09356725146199,34.215686274509785,59.356725146198826
hybrid__llama3.2-1b__nomic,72.66666666666667,50.53333333333333,36.36666666666666,60.0
hybrid__llama3.2-1b__nomic,61.87845303867403,50.93370165745856,39.07584128578601,61.32596685082873
hybrid__llama3.2-1b__nomic,56.25,46.904411764705884,35.64950980392156,58.82352941176471
