key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__qwen2.5-0.5b__mxbai,78.02197802197803,52.18681318681319,43.51428571428569,57.14285714285714
hybrid__qwen2.5-0.5b__mxbai,72.72727272727273,47.0,33.708333333333314,55.757575757575765
hybrid__qwen2.5-0.5b__mxbai,68.02325581395348,52.372093023255815,36.34689922480619,54.65116279069767
hybrid__qwen2.5-0.5b__mxbai,57.870370370370374,49.55555555555556,40.56481481481478,57.407407407407405
hybrid__qwen2.5-0.5b__mxbai,51.66666666666667,57.16666666666667,52.69444444444443,55.00000000000001
hybrid__qwen2.5-0.5b__mxbai,83.33333333333334,47.18181818181818,36.27272727272725,56.060606060606055
hybrid__qwen2.5-0.5b__mxbai,86.0,52.4,43.733333333333306,57.99999999999999
hybrid__qwen2.5-0.5b__mxbai,50.617283950617285,59.32921810699588,48.87057613168725,52.674897119341566
hybrid__qwen2.5-0.5b__mxbai,60.550458715596335,43.08256880733945,26.135575942915388,57.3394495412844
hybrid__qwen2.5-0.5b__mxbai,41.47982062780269,56.46636771300449,48.16262199947244,53.139013452914796
hybrid__qwen2.5-0.5b__mxbai,50.73529411764706,65.25,67.17941176470589,52.20588235294118
hybrid__qwen2.5-0.5b__mxbai,72.41379310344827,57.96551724137931,52.98275862068965,53.79310344827586
hybrid__qwen2.5-0.5b__mxbai,56.770833333333336,44.885416666666664,31.64434523809523,53.125
hybrid__qwen2.5-0.5b__mxbai,63.084112149532714,51.89719626168224,47.9177570093458,53.73831775700935
hybrid__qwen2.5-0.5b__mxbai,80.7017543859649,58.21052631578947,51.48684210526315,57.01754385964912
hybrid__qwen2.5-0.5b__mxbai,61.0,48.75,42.55357142857143,55.00000000000001
hybrid__qwen2.5-0.5b__mxbai,64.16666666666667,46.916666666666664,34.08333333333334,60.0
hybrid__qwen2.5-0.5b__mxbai,32.923832923832926,57.72235872235872,48.36846261846261,54.054054054054056
hybrid__qwen2.5-0.5b__mxbai,58.849557522123895,45.54867256637168,33.554867256637145,59.73451327433629
hybrid__qwen2.5-0.5b__mxbai,73.10924369747899,56.89915966386555,55.62044817927172,51.26050420168067
hybrid__qwen2.5-0.5b__mxbai,25.102880658436217,45.111111111111114,34.90664933939787,52.674897119341566
