key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__qwen3-0.6b__mxbai,89.74358974358975,52.07692307692308,34.666666666666686,56.41025641025641
hybrid__qwen3-0.6b__mxbai,87.75510204081633,54.30612244897959,29.260204081632622,61.224489795918366
hybrid__qwen3-0.6b__mxbai,83.05084745762711,55.101694915254235,46.92796610169492,57.6271186440678
hybrid__qwen3-0.6b__mxbai,83.01886792452831,56.924528301886795,54.65408805031443,52.83018867924528
hybrid__qwen3-0.6b__mxbai,82.53968253968253,58.2063492063492,51.01904761904759,47.61904761904761
hybrid__qwen3-0.6b__mxbai,90.2439024390244,54.853658536585364,30.87195121951217,68.29268292682927
hybrid__qwen3-0.6b__mxbai,89.79591836734694,51.857142857142854,42.421768707483,57.14285714285714
hybrid__qwen3-0.6b__mxbai,76.92307692307693,51.56410256410256,40.4,55.12820512820513
hybrid__qwen3-0.6b__mxbai,86.66666666666667,52.333333333333336,24.99999999999997,63.33333333333333
hybrid__qwen3-0.6b__mxbai,78.78787878787878,48.24242424242424,29.954545454545467,57.57575757575758
hybrid__qwen3-0.6b__mxbai,81.35593220338984,51.71186440677966,46.41807909604519,55.932203389830505
hybrid__qwen3-0.6b__mxbai,80.95238095238095,45.785714285714285,27.916666666666657,61.904761904761905
hybrid__qwen3-0.6b__mxbai,67.85714285714286,45.42857142857143,24.833333333333332,58.92857142857143
hybrid__qwen3-0.6b__mxbai,88.70967741935483,55.774193548387096,40.535483870967745,56.451612903225815
hybrid__qwen3-0.6b__mxbai,84.31372549019608,52.13725490196079,42.431372549019585,54.90196078431373
hybrid__qwen3-0.6b__mxbai,83.82352941176471,52.6764705882353,32.767647058823506,60.29411764705882
hybrid__qwen3-0.6b__mxbai,85.18518518518519,50.2962962962963,37.53703703703701,61.111111111111114
hybrid__qwen3-0.6b__mxbai,81.0126582278481,67.86075949367088,44.1842475386779,53.16455696202531
hybrid__qwen3-0.6b__mxbai,90.19607843137256,51.15686274509804,26.289215686274474,66.66666666666666
hybrid__qwen3-0.6b__mxbai,68.47826086956522,62.26086956521739,55.08540372670808,52.17391304347826
hybrid__qwen3-0.6b__mxbai,75.38461538461539,53.92307692307692,41.75,56.92307692307692
