key,ttr,gulpease,flesch_vacca,lexical_density
hybrid__qwen3-0.6b__nomic,86.66666666666667,65.66666666666667,43.88888888888886,68.88888888888889
hybrid__qwen3-0.6b__nomic,68.0,53.8,39.333333333333314,58.666666666666664
hybrid__qwen3-0.6b__nomic,79.71014492753623,53.34782608695652,45.56159420289853,52.17391304347826
hybrid__qwen3-0.6b__nomic,84.31372549019608,60.17647058823529,65.37254901960785,47.05882352941176
hybrid__qwen3-0.6b__nomic,69.44444444444444,57.33333333333333,54.37777777777777,52.77777777777778
hybrid__qwen3-0.6b__nomic,62.96296296296296,53.44444444444444,45.35555555555554,55.55555555555556
hybrid__qwen3-0.6b__nomic,81.25,48.53125,35.625,57.8125
hybrid__qwen3-0.6b__nomic,74.50980392156863,64.29411764705883,47.956862745098036,54.90196078431373
hybrid__qwen3-0.6b__nomic,80.32786885245902,52.442622950819676,36.24180327868851,62.295081967213115
hybrid__qwen3-0.6b__nomic,81.08108108108108,53.45945945945946,33.801801801801766,58.108108108108105
hybrid__qwen3-0.6b__nomic,74.28571428571429,64.57142857142857,58.76190476190475,52.85714285714286
hybrid__qwen3-0.6b__nomic,75.26881720430107,49.96774193548387,30.446236559139777,62.365591397849464
hybrid__qwen3-0.6b__nomic,62.33766233766234,45.493506493506494,30.07359307359305,54.54545454545454
hybrid__qwen3-0.6b__nomic,78.37837837837837,53.5945945945946,41.68918918918919,54.054054054054056
hybrid__qwen3-0.6b__nomic,75.40983606557377,54.08196721311475,44.766393442622956,57.377049180327866
hybrid__qwen3-0.6b__nomic,76.81159420289855,58.130434782608695,48.069565217391315,60.86956521739131
hybrid__qwen3-0.6b__nomic,83.01886792452831,54.660377358490564,47.29559748427671,56.60377358490566
hybrid__qwen3-0.6b__nomic,89.13043478260869,47.47826086956522,19.688405797101446,63.04347826086957
hybrid__qwen3-0.6b__nomic,89.47368421052632,49.0,23.991228070175445,71.05263157894737
hybrid__qwen3-0.6b__nomic,92.45283018867924,59.18867924528302,44.55094339622641,64.15094339622641
hybrid__qwen3-0.6b__nomic,83.01886792452831,57.301886792452834,49.259433962264126,60.37735849056604
