key,ttr,gulpease,flesch_vacca,lexical_density
prompt__full__falcon3-1b,86.53846153846155,47.26923076923077,37.49999999999997,53.84615384615385
prompt__full__falcon3-1b,92.10526315789474,55.31578947368421,53.57894736842104,55.26315789473685
prompt__full__falcon3-1b,31.63265306122449,50.857142857142854,42.06613756613754,55.10204081632652
prompt__full__falcon3-1b,90.32258064516128,55.774193548387096,43.72580645161287,58.06451612903226
prompt__full__falcon3-1b,86.76470588235294,58.55882352941177,59.95588235294116,57.35294117647059
prompt__full__falcon3-1b,100.0,71.22222222222223,63.388888888888886,50.0
prompt__full__falcon3-1b,100.0,101.0,57.99999999999997,60.0
prompt__full__falcon3-1b,91.17647058823529,53.11764705882353,51.558823529411754,50.0
prompt__full__falcon3-1b,97.77777777777777,39.44444444444444,14.499999999999972,62.22222222222222
prompt__full__falcon3-1b,46.05263157894737,56.38486842105263,48.49697827417381,50.82236842105263
prompt__full__falcon3-1b,100.0,65.78571428571428,71.28571428571428,57.14285714285714
prompt__full__falcon3-1b,38.87147335423197,44.36050156739812,30.447962382445162,58.93416927899686
prompt__full__falcon3-1b,54.75113122171946,59.36199095022624,44.65588235294119,54.75113122171946
prompt__full__falcon3-1b,100.0,87.33333333333333,59.166666666666686,50.0
prompt__full__falcon3-1b,91.66666666666666,44.0,53.166666666666686,25.0
prompt__full__falcon3-1b,83.54430379746836,44.949367088607595,29.097046413502095,58.22784810126582
prompt__full__falcon3-1b,48.8,47.8,33.84666666666668,56.8
prompt__full__falcon3-1b,100.0,84.0,76.125,37.5
prompt__full__falcon3-1b,100.0,94.0,80.83333333333333,66.66666666666666
prompt__full__falcon3-1b,43.03030303030303,45.98989898989899,33.6141414141414,55.35353535353536
prompt__full__falcon3-1b,100.0,86.5,92.37499999999999,37.5
