key,ttr,gulpease,flesch_vacca,lexical_density
prompt__full__gemma3-1b,90.0,54.0,50.166666666666686,63.33333333333333
prompt__full__gemma3-1b,61.33333333333333,61.06666666666666,43.18571428571429,56.666666666666664
prompt__full__gemma3-1b,69.86301369863014,51.73972602739726,41.72260273972603,57.534246575342465
prompt__full__gemma3-1b,100.0,49.55555555555556,36.333333333333314,55.55555555555556
prompt__full__gemma3-1b,100.0,95.0,57.99999999999997,70.0
prompt__full__gemma3-1b,55.55555555555556,50.60493827160494,34.92345679012347,54.93827160493827
prompt__full__gemma3-1b,57.14285714285714,49.06802721088435,31.231972789115634,57.14285714285714
prompt__full__gemma3-1b,52.51141552511416,57.12785388127854,46.58557961408158,51.141552511415526
prompt__full__gemma3-1b,56.71641791044776,45.95522388059702,32.94309701492534,56.11940298507463
prompt__full__gemma3-1b,56.9078947368421,47.81578947368421,34.12171052631581,47.69736842105263
prompt__full__gemma3-1b,60.86956521739131,57.586956521739125,61.13260869565217,53.2608695652174
prompt__full__gemma3-1b,51.71790235081374,62.36347197106691,46.87706847725955,51.71790235081374
prompt__full__gemma3-1b,41.612903225806456,74.7741935483871,55.229346970889054,44.516129032258064
prompt__full__gemma3-1b,53.81750465549349,52.70577281191807,39.77979515828678,56.61080074487895
prompt__full__gemma3-1b,44.58128078817734,50.206896551724135,35.869047619047606,54.92610837438424
prompt__full__gemma3-1b,53.46062052505967,51.17183770883055,38.91780429594273,55.847255369928405
prompt__full__gemma3-1b,46.86192468619247,48.10041841004184,35.227851555393855,56.69456066945606
prompt__full__gemma3-1b,53.30578512396694,46.72727272727273,35.14710743801653,53.71900826446281
prompt__full__gemma3-1b,49.45454545454545,56.38181818181818,48.053588516746416,52.72727272727272
prompt__full__gemma3-1b,68.75,58.3125,43.78605769230769,61.25000000000001
prompt__full__gemma3-1b,47.183098591549296,61.32394366197183,62.96870109546166,53.52112676056338
