key,ttr,gulpease,flesch_vacca,lexical_density
prompt__full__qwen2.5-0.5b,82.22222222222221,50.55555555555556,40.94444444444443,54.44444444444444
prompt__full__qwen2.5-0.5b,97.36842105263158,53.473684210526315,50.15789473684211,47.368421052631575
prompt__full__qwen2.5-0.5b,90.9090909090909,50.21212121212121,39.80303030303028,60.60606060606061
prompt__full__qwen2.5-0.5b,87.5,60.40625,54.059375,56.25
prompt__full__qwen2.5-0.5b,61.79775280898876,45.62921348314607,34.03089887640448,53.93258426966292
prompt__full__qwen2.5-0.5b,63.2183908045977,48.42528735632184,36.31896551724137,56.896551724137936
prompt__full__qwen2.5-0.5b,75.0,49.333333333333336,37.73214285714283,60.0
prompt__full__qwen2.5-0.5b,84.93150684931507,57.082191780821915,49.82465753424656,52.054794520547944
prompt__full__qwen2.5-0.5b,53.125,75.875,39.81003289473684,53.125
prompt__full__qwen2.5-0.5b,83.33333333333334,57.18181818181819,50.636363636363626,56.060606060606055
prompt__full__qwen2.5-0.5b,79.41176470588235,54.294117647058826,48.80392156862746,54.90196078431373
prompt__full__qwen2.5-0.5b,63.975155279503106,58.75155279503106,49.88867654085044,56.52173913043478
prompt__full__qwen2.5-0.5b,72.05882352941177,81.6470588235294,53.90588235294116,50.0
prompt__full__qwen2.5-0.5b,71.900826446281,57.429752066115704,52.26800472255018,56.19834710743802
prompt__full__qwen2.5-0.5b,78.04878048780488,50.46341463414634,35.6829268292683,59.756097560975604
prompt__full__qwen2.5-0.5b,63.33333333333333,66.38888888888889,59.99509803921567,52.22222222222223
prompt__full__qwen2.5-0.5b,0.729976343359243,61.273515827419175,72.69599460553927,38.58961360820097
prompt__full__qwen2.5-0.5b,59.89010989010989,58.065934065934066,49.49999999999997,51.64835164835166
prompt__full__qwen2.5-0.5b,63.190184049079754,65.44171779141104,52.25421779141104,52.14723926380368
prompt__full__qwen2.5-0.5b,81.94444444444444,54.97222222222222,45.35,56.94444444444444
prompt__full__qwen2.5-0.5b,100.0,74.55555555555556,74.22222222222221,55.55555555555556
