key,ttr,gulpease,flesch_vacca,lexical_density
prompt__full__qwen3-0.6b,86.66666666666667,65.0,55.166666666666686,63.33333333333333
prompt__full__qwen3-0.6b,79.59183673469387,46.95918367346939,26.503401360544228,55.10204081632652
prompt__full__qwen3-0.6b,87.5,45.75,18.791666666666664,57.49999999999999
prompt__full__qwen3-0.6b,85.96491228070175,53.21052631578947,45.596491228070164,52.63157894736842
prompt__full__qwen3-0.6b,100.0,61.0,31.26666666666666,60.0
prompt__full__qwen3-0.6b,68.26923076923077,65.4423076923077,27.32142857142857,53.84615384615385
prompt__full__qwen3-0.6b,100.0,69.625,47.6875,62.5
prompt__full__qwen3-0.6b,75.80645161290323,56.74193548387097,54.20967741935485,50.0
prompt__full__qwen3-0.6b,83.33333333333334,50.666666666666664,56.54545454545453,25.757575757575758
prompt__full__qwen3-0.6b,71.62162162162163,62.10810810810811,88.24324324324324,36.486486486486484
prompt__full__qwen3-0.6b,95.1219512195122,56.073170731707314,46.47967479674795,56.09756097560976
prompt__full__qwen3-0.6b,82.6923076923077,44.96153846153846,26.166666666666668,63.46153846153846
prompt__full__qwen3-0.6b,50.0,92.88888888888889,50.09325396825397,51.388888888888886
prompt__full__qwen3-0.6b,100.0,59.5,30.25,60.0
prompt__full__qwen3-0.6b,71.01449275362319,51.31884057971015,38.967391304347814,53.62318840579711
prompt__full__qwen3-0.6b,60.46511627906976,52.95348837209303,40.66046511627907,54.65116279069767
prompt__full__qwen3-0.6b,96.42857142857143,61.14285714285714,13.285714285714278,78.57142857142857
prompt__full__qwen3-0.6b,90.625,60.25,59.239583333333336,43.75
prompt__full__qwen3-0.6b,86.36363636363636,53.09090909090909,39.17424242424243,61.36363636363637
prompt__full__qwen3-0.6b,100.0,71.77777777777777,63.388888888888886,61.111111111111114
prompt__full__qwen3-0.6b,74.0,50.2,45.03333333333329,60.0
