key,ttr,gulpease,flesch_vacca,lexical_density
prompt__role_playing__falcon3-1b,80.0,46.5,33.900000000000006,61.0
prompt__role_playing__falcon3-1b,44.44444444444444,48.76190476190476,34.57047619047621,56.613756613756614
prompt__role_playing__falcon3-1b,56.61538461538461,46.13846153846154,36.14444444444443,56.30769230769231
prompt__role_playing__falcon3-1b,82.05128205128204,45.794871794871796,29.833333333333343,51.28205128205128
prompt__role_playing__falcon3-1b,78.33333333333333,49.0,33.91666666666666,58.333333333333336
prompt__role_playing__falcon3-1b,93.75,68.375,47.6875,50.0
prompt__role_playing__falcon3-1b,73.11827956989248,45.666666666666664,33.879032258064484,53.76344086021505
prompt__role_playing__falcon3-1b,59.78260869565217,56.2463768115942,39.9038208168643,56.15942028985508
prompt__role_playing__falcon3-1b,51.56794425087108,49.34843205574913,32.832594235033255,57.8397212543554
prompt__role_playing__falcon3-1b,64.22018348623854,47.99082568807339,40.975396163469554,51.8348623853211
prompt__role_playing__falcon3-1b,54.621848739495796,54.42016806722689,47.46953781512602,54.20168067226891
prompt__role_playing__falcon3-1b,51.07033639143731,67.01223241590213,40.55987445678417,51.98776758409785
prompt__role_playing__falcon3-1b,93.33333333333333,63.66666666666667,44.333333333333314,50.0
prompt__role_playing__falcon3-1b,55.7632398753894,51.585669781931465,38.08084112149534,54.82866043613706
prompt__role_playing__falcon3-1b,75.71428571428571,47.714285714285715,23.928571428571416,60.0
prompt__role_playing__falcon3-1b,90.9090909090909,53.31818181818182,40.65151515151512,56.81818181818182
prompt__role_playing__falcon3-1b,72.72727272727273,51.02797202797203,34.083333333333336,60.13986013986013
prompt__role_playing__falcon3-1b,56.6579634464752,47.01566579634465,32.71790687554395,57.702349869451695
prompt__role_playing__falcon3-1b,55.88235294117647,49.588235294117645,31.9579831932773,60.08403361344538
prompt__role_playing__falcon3-1b,81.9672131147541,51.78688524590164,43.94535519125681,52.459016393442624
prompt__role_playing__falcon3-1b,60.36866359447005,44.25345622119816,26.44285714285714,56.68202764976959
